Station,Latitude,Longitude
GLN,38.345,-121.546
ANC,38.017817,-121.802965
CCS,38.2918,-121.742
CLL,38.073981,-121.850123
CNT,37.99495,-121.702809
DMC,37.781567,-121.590239
EMM,38.084272,-121.738924
FRP,38.011698,-121.639129
HLL,38.006986,-121.580617
JER,38.052155,-121.688971
PCT,38.056788,-121.999971
PTS,38.042975,-121.892482
RIV,38.159203,-121.684543
SAL,38.103301,-121.591315
STI,38.116919,-121.498851
UNI,37.822101,-121.37499
VIC,37.890763,-121.488324
VER,37.679376,-121.265002
RPN,37.729859,-121.110135
LIS,38.47478104,-121.5882263
MAB,37.88518143,-121.4727631
SJC,37.980266,-121.385717
RCS,38.793556,-121.725349
ECD,37.917863,-121.625999
RSL,37.97631073,-121.6375961
TMS,38.106,-121.7
MHR,37.877,-121.384
MTB,37.881,-121.456
OBD,37.81096268,-121.5439377
SJL,37.8111496,-121.3240356
PCO,37.8019444,-121.412306
SUR,37.78847,-121.419333
MKN,38.223138,-121.50677
SUS,38.2525,-121.6014
SWE,38.241851,-121.514771
BIR,37.943056,-121.53389
DAR,37.768959,-121.419414
SR3,38.090109,-121.686771
TPS,37.79053497,-121.4186325
BAC,37.96934509,-121.5721741
OLD,37.80480957,-121.4495621
BDT,37.865,-121.3231
BDL,38.1869,-121.9708
BLL,38.1801,-121.9069
CSE,38.074,-121.8501
CYG,38.1527,-122.0908
FLT,38.08037934,-122.1020479
GOD,38.1238,-122.0812
GYS,38.118,-122.095
HUN,38.156,-122.0527
IBS,38.157,-122.113
MSL,38.0934,-121.8872
NSL,38.1221,-121.8881
PEL,38.11083,-121.97185
ROR,38.092,-121.889
SNC,38.185,-122.083
TEA,38.1766,-122.0872
VOL,38.181,-122.046
GYN,38.2206,-122.148
SUC,38.2242,-122.1068
HSL,38.22223,-122.02401
FRK,38.046417,-121.5981
GZL,38.12425,-122.038117
HON,38.0724,-121.9392
PPT,38.066,-121.562
RYC,38.083971,-121.995878
MRZ,38.02763748,-122.1404877
MAL,38.04280472,-121.9200897
RVB,38.159737,-121.686355
SRH,38.36798096,-121.5199585
SSI,38.074097,-121.761736
ANH,38.0178299,-121.8029633
MSD,37.786,-121.306
RRI,37.963,-121.365
SJR,37.67929,-121.26511
TWI,38.0969,-121.6691
GZB,38.123145,-122.007582
BET,38.0333489,-121.6198269
BLP,38.03245163,-121.7190399
DGL,37.815,-121.425
GCT,37.82014465,-121.4498596
OAD,37.81032181,-121.5421066
OH1,37.80755234,-121.3312531
PDC,37.8020598,-121.4122564
SGA,37.7928598,-121.4214954
TPI,37.7901001,-121.4185104
MHO,37.876222,-121.383306
MIR,38.236027,-121.666055
SOI,38.17548,-121.656863
SXS,38.191267,-121.637881
FCT,38.067822,-121.648838
GLE,37.820258,-121.4348562
MRU,37.8339,-121.386
MRX,37.881415,-121.467395
MUP,37.890778,-121.488361
ORI,37.828,-121.5526
ORM,37.79384,-121.51738
ORX,37.810997,-121.386576
SJD,37.8223312,-121.3177244
TWA,37.8028,-121.4574
WCI,37.8316,-121.554
FAL,38.0558,-121.6669
OBI,37.96936798,-121.5722198
ODM,37.8102951,-121.5421448
OSJ,38.0711,-121.5789
VCU,37.8717,-121.5283
MOK,38.1061,-121.5711
TSL,38.1033,-121.6861
GLC,37.8196,-121.5485
HLT,38.0031,-121.5108
HOL,38.0164,-121.5819
ORQ,38.0272,-121.5645
TRN,37.9928,-121.4542
BKS,38.2759,-121.7965
CLC,37.8298,-121.5574
CPP,38.2276,-122.1347
DYR,37.757824,-121.674913
HBP,37.801944,-121.620278
DV7,37.6547,-121.7419
MDM,37.943,-121.534
OH4,37.891109,-121.569168
NMR,38.2232,-121.5071
SMR,38.2255,-121.4911
DLC,38.245,-121.505
DWS,38.25611,-121.66667
FPT,38.45,-121.5
GES,38.2389,-121.5234
GSS,38.237,-121.518
HWB,38.2917,-121.6308
LIB,38.2421,-121.6849
RYI,38.2128,-121.6692
RYF,38.193854,-121.658005
SDI,38.0934,-121.736
SRV,38.16,-121.686
SSS,38.285,-121.587
SUT,38.3286,-121.5772
DSJ,38.013,-121.671
LPS,38.0964,-121.4961
PRI,38.0594,-121.5572
SJG,37.935,-121.329
SJJ,38.052,-121.689
RIP,37.7296524,-121.1104965
