fWY,emmean,SE,df,asymp.LCL,asymp.UCL,.group,the.emmean,pri.fac,lcmpl,rcmpl
2011,16.403,0.815,Inf,14.805,18.001,A,16.403184735006352,2011,NA,16.514144105685215
2010,16.79,0.816,Inf,15.191,18.388,B,16.789869912138645,2010,16.660537514625265,16.919922213871843
2012,16.876,0.815,Inf,15.278,18.474,BC,16.875701299703284,2012,16.767712712695253,16.98344546413079
2017,17.084,0.815,Inf,15.487,18.682,C,17.084410524985376,2017,16.975720209560382,17.19292082006064
2019,17.091,0.815,Inf,15.493,18.689,C,17.090653697370243,2019,16.979560411973104,17.201549219754536
2018,17.372,0.815,Inf,15.774,18.97,D,17.37208672552985,2018,17.2631859191252,17.480764973845304
2013,17.579,0.815,Inf,15.981,19.176,D,17.578643159197135,2013,17.469875406055994,17.687133310277908
2014,17.871,0.815,Inf,16.274,19.469,E,17.871427795429803,2014,17.7634254785546,17.979150448455595
2016,17.968,0.815,Inf,16.37,19.566,E,17.967998366599307,2016,17.85993789349772,18.0757793646777
2015,18.736,0.815,Inf,17.138,20.334,F,18.73598545526181,2015,18.62721462645511,NA
