Season,Region2,contrast,emmean,SE,df,lower.CL,upper.CL
Wet,NorthDelta,.,12.44571429,1.085012641,14.0761052,8.055840663,16.83558791
Wet,SacRiver,.,12.85469275,1.004419877,10.56866036,8.446262574,17.26312293
Wet,SanJoaquin,.,13.18092063,1.010002758,10.80076649,8.779670746,17.58217052
Wet,South,.,12.86324739,1.014877193,11.00512843,8.467399494,17.25909528
Wet,SuisunBay,.,12.98478749,1.010013439,10.80122282,8.583551668,17.38602331
Wet,SuisunMarsh,.,12.76842796,1.085202441,14.085957,8.378521524,17.1583344
Dry,NorthDelta,.,20.362,1.254038066,12.95720163,15.18159202,25.54240798
Dry,SacRiver,.,20.57266377,1.183896437,10.41014439,15.34993727,25.79539026
Dry,SanJoaquin,.,22.11769519,1.188713456,10.57819072,16.90196648,27.3334239
Dry,South,.,20.60777429,1.192928046,10.72619598,15.3975969,25.81795168
Dry,SuisunBay,.,19.62060096,1.188722138,10.57849938,14.40488501,24.83631691
Dry,SuisunMarsh,.,19.70557082,1.254266271,12.96663574,14.52521295,24.88592868
Wet,.,NorthDelta - SacRiver,-0.408978469,0.473881941,17.54280477,-2.23893389,1.420976952
Wet,.,NorthDelta - SanJoaquin,-0.735206347,0.485603105,17.54549569,-2.610370902,1.139958209
Wet,.,NorthDelta - South,-0.417533102,0.495661699,17.55185772,-2.331409736,1.496343533
Wet,.,NorthDelta - SuisunBay,-0.539073202,0.48562532,17.54868734,-2.414259951,1.336113546
Wet,.,NorthDelta - SuisunMarsh,-0.322713675,0.627191472,17.57692699,-2.743816795,2.098389445
Wet,.,SacRiver - SanJoaquin,-0.326227878,0.259648627,17.5678809,-1.328627251,0.676171496
Wet,.,SacRiver - South,-0.008554633,0.27800664,17.58535156,-1.081628449,1.064519183
Wet,.,SacRiver - SuisunBay,-0.130094734,0.259690363,17.5791113,-1.132535996,0.872346529
Wet,.,SacRiver - SuisunMarsh,0.086264794,0.474316715,17.60726992,-1.744119659,1.916649246
Wet,.,SanJoaquin - South,0.317673245,0.297541634,17.5859641,-0.830795971,1.466142461
Wet,.,SanJoaquin - SuisunBay,0.196133144,0.280504389,17.58082311,-0.886633567,1.278899855
Wet,.,SanJoaquin - SuisunMarsh,0.412492672,0.486027635,17.60692803,-1.463090893,2.288076237
Wet,.,South - SuisunBay,-0.121540101,0.297577709,17.59444652,-1.270045587,1.026965385
Wet,.,South - SuisunMarsh,0.094819427,0.496078084,17.61090664,-1.819468562,2.009107415
Wet,.,SuisunBay - SuisunMarsh,0.216359527,0.48605017,17.61017398,-1.659246792,2.091965847
Dry,.,NorthDelta - SacRiver,-0.210663769,0.477551637,18.09250527,-2.044390193,1.623062655
Dry,.,NorthDelta - SanJoaquin,-1.755695191,0.489371508,18.09645444,-3.634734271,0.123343889
Dry,.,NorthDelta - South,-0.245774289,0.499521886,18.10500594,-2.163624607,1.672076029
Dry,.,NorthDelta - SuisunBay,0.741399038,0.489392595,18.09955572,-1.137663018,2.620461094
Dry,.,NorthDelta - SuisunMarsh,0.656429182,0.632161902,18.1407203,-1.769815593,3.082673957
Dry,.,SacRiver - SanJoaquin,-1.545031422,0.261694392,18.12808005,-2.549543362,-0.540519482
Dry,.,SacRiver - South,-0.03511052,0.280217294,18.15135249,-1.110474633,1.040253593
Dry,.,SacRiver - SuisunBay,0.952062807,0.261733962,18.13898346,-0.052492478,1.956618092
Dry,.,SacRiver - SuisunMarsh,0.867092951,0.478150937,18.18348654,-0.96728097,2.701466873
Dry,.,SanJoaquin - South,1.509920902,0.29991312,18.15331384,0.358994251,2.660847553
Dry,.,SanJoaquin - SuisunBay,2.497094229,0.282721367,18.14320762,1.412033033,3.582155425
Dry,.,SanJoaquin - SuisunMarsh,2.412124373,0.4899566,18.18314448,0.532452978,4.291795767
Dry,.,South - SuisunBay,0.987173327,0.299947598,18.16161792,-0.163791183,2.138137837
Dry,.,South - SuisunMarsh,0.902203471,0.500095552,18.18830892,-1.016267452,2.820674394
Dry,.,SuisunBay - SuisunMarsh,-0.084969856,0.48997791,18.18628961,-1.964664769,1.794725057
