fWY,emmean,SE,df,lower.CL,upper.CL,.group,the.emmean,pri.fac,lcmpl,rcmpl
2011,15.966,0.804,10.066,14.176,17.756,A,15.96607963556892,2011,NA,16.0584075546228
2010,16.308,0.804,10.08,14.518,18.098,B,16.307916845310274,2010,16.199877207468685,16.416635483565567
2012,16.385,0.804,10.064,14.596,18.175,B,16.385230616474008,2012,16.294806420322722,16.4754790490459
2017,16.666,0.804,10.064,14.877,18.456,C,16.666252966182107,2017,16.57517158840353,16.757177027014393
2019,16.689,0.804,10.066,14.899,18.479,C,16.689064222884582,2019,16.5958939030715,16.782066763911956
2018,16.921,0.804,10.065,15.131,18.71,D,16.920786566878785,2018,16.829566872172578,17.011860390404316
2013,17.077,0.804,10.064,15.287,18.866,D,17.076873823699064,2013,16.98567640082176,17.16788794745787
2014,17.372,0.804,10.064,15.583,19.162,E,17.37238027219703,2014,17.281899618248488,17.462675008625826
2016,17.453,0.804,10.064,15.664,19.243,E,17.453328748724704,2016,17.362845778688527,17.54362362768464
2015,18.205,0.804,10.064,16.415,19.994,F,18.204730737870033,2015,18.113631865436385,NA
